id;descrizioneCompleta;Peso;;produttore;;;;;;;;;;;;;;
CERPASGDUROL23;Trenette di grano duro g 500;Trenette di grano duro g 500;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERPASGSARACCO1;Penne di grano saraceno g 250;Penne di grano saraceno g 250;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERPASGSARACM1;Ditalini di grano saraceno g 250;Ditalini di grano saraceno g 250;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERSNACK2;Palline soffiate di mais e riso g 50;Palline soffiate di mais e riso g 50;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERSNACK3;Palline soffiate di mais e farro g 50;Palline soffiate di mais e farro g 50;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERSNACK4;Palline soffiate di mais e grano saraceno g 50;Palline soffiate di mais e grano saraceno g 50;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERSNACK5;Palline soffiate di mais g 50;Palline soffiate di mais g 50;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
CERSNACK6;Palline soffiate di mais e lenticchie g 50;Palline soffiate di mais e lenticchie g 50;;Castagno Bruno s.a.s;;;;;;;;;;;;;;
FOROVSEMISTAG12;Robiola di pecora g 140;Robiola di pecora g 140;;Azienda Agricola La Mommiga di Bracco Paolo;;;;;;;;;;;;;;
FORVASTAG39;Toma del Marsel g 200;Toma del Marsel g 200;;Azienda Agricola La Mommiga di Bracco Paolo;;;;;;;;;;;;;;
CERFAR101;Semolato di grano duro kg 1;Semolato di grano duro kg 1;kg;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERFAR102;Semola di grano duro rimacinata kg 1;Semola di grano duro rimacinata kg 1;kg;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERFAR45;Farina di grano tenero tipo 2 kg 1;Farina di grano tenero tipo 2 kg 1;kg;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERFAR46;Farine miste di grano tenero tipo 2, grano tenero integrale e grano duro integrale kg 1;Farine miste di grano tenero tipo 2, grano tenero integrale e grano duro integrale kg 1;kg;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERFAR56;Farina di grano tenero 00 kg 1;Farina di grano tenero 00 kg 1;kg;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERFAR90;Farina di farro Spelta tipo 1 kg 1;Farina di farro Spelta tipo 1 kg 1;kg;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERFAR91;Farina di mais, saraceno per polenta taragna g 500;Farina di mais, saraceno per polenta taragna g 500;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERFAR95;Farina di ceci g 500;Farina di ceci g 500;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERPASCURCUMAL1;Tagliolini all'uovo di grano duro semintegrale g 500;Tagliolini all'uovo di grano duro semintegrale g 500;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERPASFARROLUNGA3;Tagliatelle all'uovo di farro integrale g 500;Tagliatelle all'uovo di farro integrale g 500;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERPASGDUROC35;Farfalle semola grano duro piemontese g 500;Farfalle semola grano duro piemontese g 500;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERPASGDUROCORTA27;Penne g 500 di grano duro integrale ;Penne g 500 di grano duro integrale ;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERPASGDUROCORTA30;Fusilli semola grano duro piemontese g 500;Fusilli semola grano duro piemontese g 500;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
CERPASGDUROCORTA31;Penne semola grano duro piemontese g 500;Penne semola grano duro piemontese g 500;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
DOLBISC68;Biscotti di mais g 300;Biscotti di mais g 300;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
DOLBISC69;Turcet g 300;Turcet g 300;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
DOLBISC73;Fior di farro g 250;Fior di farro g 250;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
FOCACCIA2;Focaccine croccanti di farro g 150;Focaccine croccanti di farro g 150;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
OLIGIRASOLE7;Olio di girasole cl 75;Olio di girasole cl 75;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
PANPANGRATTATO4;Pangrattato g 500;Pangrattato g 500;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
PASTAMADRE2;Pasta madre g 200;Pasta madre g 200;;Azienda agricola La Cascinetta di Raviola Secondo;;;;;;;;;;;;;;
VERDCAROTE4;Carote di San Rocco g 500;Carote di San Rocco g 500;;Lovera Enrico Antonio;;;;;;;;;;;;;;
FRUTAVOCADOS3;Avocado g 150;Avocado g 150;;Terra-Terra SocietÃ  Cooperativa Agricola;;;;;;;;;;;;;;
FRUTBANANE4;Banane fairtrade g 500;Banane fairtrade g 500;;Terra-Terra SocietÃ  Cooperativa Agricola;;;;;;;;;;;;;;
FRUTBANANE5;Banane fairtrade g 250 ;Banane fairtrade g 250 ;;Terra-Terra SocietÃ  Cooperativa Agricola;;;;;;;;;;;;;;
VERDBROCCOLI4;Broccoli g 500;Broccoli g 500;;Terra-Terra SocietÃ  Cooperativa Agricola;;;;;;;;;;;;;;
VERDCAVOLFIOR25;Cavolfiore kg 1;Cavolfiore kg 1;kg;Terra-Terra SocietÃ  Cooperativa Agricola;;;;;;;;;;;;;;
VERDCAVOLONER19;Cavolo riccio g 500 ;Cavolo riccio g 500 ;;Terra-Terra SocietÃ  Cooperativa Agricola;;;;;;;;;;;;;;
VERDCAVOLOVERZA7;Cavolo verza kg 1;Cavolo verza kg 1;kg;Terra-Terra SocietÃ  Cooperativa Agricola;;;;;;;;;;;;;;
